school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Barry University,3504,2991,Florida,Suburb,NA,100.0,99.81,100.0,8,4,16,4,2,8,12,6,24,10.316537394242399,1.1971884431672066
Barton College,888,830,North CaroliNA,Town,private,30.51,15.56,54.02,0,0,1,0,0,0,0,0,1,0.184133003140441,0.1796503628146131
Bates College,1788,1787,Maine,Small City,NA,79.68,55.34,97.13,1,1,2,1,0,1,2,1,3,0.031943934714617275,1.5601036309202672
Bay Path University,1946,1367,Massachusetts,Suburb,NA,84.42,62.6,97.37,1,1,2,1,0,1,2,1,3,1.5856144993720023,0.27260315027774584
Baylor University,14311,14100,Texas,Midsize City,private,100.0,100.0,100.0,44,17,111,23,9,60,67,26,171,63.64553517196037,2.5645423161453
Beacon College,349,344,Florida,Suburb,private,47.18,29.0,73.4,0,0,1,0,0,0,0,0,1,0.4619345101899582,0.17526282570801055
Becker College,1885,1530,Massachusetts,Midsize City,private,84.97,62.18,97.74,1,1,3,1,0,1,2,1,4,1.5920705844671652,0.3019184297293376
Belhaven University,2479,1248,Mississippi,Midsize City,private,98.84,87.35,100.0,3,1,7,1,1,3,4,2,10,1.3244792832340222,3.1250031598390056
Bellarmine University,2539,2410,Kentucky,Large City,NA,72.29,44.25,94.86,1,0,2,0,0,1,1,0,3,0.885799193844116,0.39712800002227994
Bellevue University,5743,4919,Nebraska,Suburb,NA,89.57,67.65,99.35,2,1,3,1,0,2,3,1,5,0.34451890169224103,1.9130437742360478
Belmont Abbey College,1552,1381,North CaroliNA,Suburb,private,66.2,41.08,90.32,1,0,2,0,0,1,1,0,3,0.22732469523511237,0.8563285760038657
Belmont University,6496,6161,Tennessee,Large City,NA,99.93,95.37,100.0,5,2,12,2,1,6,7,3,18,0.47888145397558984,6.70926805543203
Beloit College,1407,1346,Wisconsin,Small City,NA,55.95,36.61,80.97,1,0,1,0,0,1,1,0,2,0.03824610432699162,0.7805914088621206
Bemidji State University,4819,3333,Minnesota,Town,NA,56.84,38.5,88.04,1,0,1,0,0,1,1,0,2,0.5046494401581648,0.33504335575424204
Benedict College,2089,2077,South CaroliNA,Midsize City,NA,91.3,62.66,99.64,2,1,4,1,0,2,3,1,6,1.5839780025683448,0.855921948759742
Benedictine College,2080,1821,Kansas,Town,NA,74.42,47.34,97.0,1,0,2,0,0,1,1,0,3,0.02977656564086936,1.3314093830832359
Benedictine University,2883,2473,Illinois,Suburb,private,68.2,55.65,85.15,1,1,1,0,0,1,1,1,2,0.945904861182886,0.19934138811121926
Bennett College,490,400,North CaroliNA,Large City,private,27.39,15.43,46.98,0,0,0,0,0,0,0,0,0,0.04445460706819975,0.2754404862666843
Bennington College,775,724,Vermont,Town,NA,59.96,38.63,84.65,1,0,1,0,0,1,1,0,2,6.631057212804859e-06,0.9142039099858402
Bentley University,4270,4171,Massachusetts,Small City,private,98.8,90.21,99.99,3,2,6,1,1,3,4,3,9,2.4210319106860783,2.000376534762968
Berea College,1668,1615,Kentucky,Town,NA,63.72,34.65,90.9,1,0,2,0,0,1,1,0,3,0.4121097853713267,0.6010907058129765
Berry College,1976,1945,Georgia,Suburb,private,74.21,44.03,97.66,1,0,3,0,0,1,1,0,4,0.4431653879041899,0.9101766023548689
Bethany College Kansas,777,710,Kansas,Town,NA,45.0,20.53,78.83,0,0,1,0,0,1,0,0,2,0.025998570668071243,0.5703631063354035
Bethany College West Virginia,598,594,West Virginia,Rural,private,34.57,20.83,56.65,0,0,1,0,0,0,0,0,1,0.0030366458914512554,0.42069261378094647
Bethany Lutheran College,651,522,Minnesota,Small City,NA,15.65,8.76,30.75,0,0,0,0,0,0,0,0,0,0.05514796320536279,0.11480832086616766
Bethel College - Mishawaka,1330,1044,IndiaNA,Small City,NA,51.38,35.86,81.42,0,0,1,0,0,1,0,0,2,0.42731928756154813,0.29329635582850166
Bethel College - North Newton,502,489,Kansas,Town,NA,19.67,8.13,43.11,0,0,0,0,0,0,0,0,0,0.017995186580959444,0.20061907528972836
Bethel University Minnesota,2898,2407,Minnesota,Suburb,NA,48.07,29.99,87.52,0,0,1,0,0,1,0,0,2,0.24919131307877773,0.4056507524325045
Bethel University Tennessee,4830,3454,Tennessee,Town,NA,94.71,66.22,100.0,2,1,7,1,0,4,3,1,11,1.0222843333587515,1.9128320168512218
Bethune - Cookman University,3988,3755,Florida,Small City,private,100.0,99.94,100.0,9,5,20,5,2,10,14,7,30,12.588881903964719,1.2447808817533772
Biola University,4047,3882,California,Suburb,private,99.98,99.06,100.0,6,3,12,3,2,6,9,5,18,7.255277881013825,1.119378490819979
Birmingham Southern College,1287,1272,Alabama,Midsize City,NA,70.77,40.92,94.84,1,0,2,0,0,1,1,0,3,0.41965308386838635,0.8084693242904897
Black Hills State University,3951,2195,South Dakota,Town,NA,81.99,48.13,99.98,1,0,5,1,0,3,2,0,8,1.079379369862939,0.6333105733164617
Blackburn College,557,546,Illinois,Town,private,20.74,14.18,35.06,0,0,0,0,0,0,0,0,0,0.17913534318725283,0.05317146347311402
