school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of Massachusetts Amherst,23386,21577,Massachusetts,Suburb,NA,100.0,100.0,100.0,30,17,54,12,7,23,42,24,77,34.11022344354368,8.24797797113001
University of Massachusetts - Boston,12658,9574,Massachusetts,Large City,NA,100.0,100.0,100.0,17,10,31,7,4,13,24,14,44,23.315199312258432,1.2950155359023305
University of Massachusetts - Dartmouth,6764,5790,Massachusetts,Suburb,NA,100.0,99.95,100.0,9,5,16,4,2,7,13,7,23,12.790593594940283,0.2312442186854652
University of Massachusetts - Lowell,14015,10495,Massachusetts,Suburb,NA,100.0,100.0,100.0,18,11,33,8,4,14,26,15,47,24.785722804269312,1.334596612090481
University of Memphis,17392,12400,Tennessee,Large City,NA,100.0,99.94,100.0,14,6,33,5,2,13,19,8,46,15.558614954819653,3.7280739078318303
University of Miami,10834,10216,Florida,Suburb,NA,100.0,100.0,100.0,26,15,51,11,6,23,37,21,74,27.520277077771972,10.039224086675155
University of Michigan - Ann Arbor,29819,28702,Michigan,Midsize City,NA,100.0,100.0,100.0,28,16,55,12,7,24,40,23,79,20.508744866657246,19.556116410945123
University of Michigan - Dearborn,7132,5137,Michigan,Small City,NA,99.95,98.62,100.0,5,3,11,2,1,5,7,4,16,7.6482769418782635,0.03621873369516128
University of Michigan - Flint,6432,3809,Michigan,Small City,public,99.9,97.92,100.0,5,3,10,2,1,4,7,4,14,6.833737599587627,0.12108634256824949
University of Minnesota - Crookston,2832,1195,Minnesota,Town,public,80.04,57.15,96.11,1,1,2,0,0,1,1,1,3,0.40723075888395094,1.2021250174604872
University of Minnesota - Duluth,10124,8906,Minnesota,Small City,NA,89.0,73.53,97.93,2,1,3,1,0,1,3,1,4,1.7603254188320092,0.44603254157265426
University of Minnesota - Morris,1627,1526,Minnesota,Town,NA,38.13,24.0,58.53,0,0,1,0,0,0,0,0,1,0.28010478451158627,0.19963694663577874
University of Minnesota - Twin Cities,35429,29991,Minnesota,Large City,NA,100.0,99.85,100.0,8,5,15,3,2,6,11,7,21,4.712797016296606,6.488408170454084
University of Mississippi,18734,17511,Mississippi,Town,NA,100.0,100.0,100.0,43,22,86,17,8,36,60,30,122,39.29826468536876,21.385491733442418
University of Missouri - Columbia,23800,22197,Missouri,Midsize City,NA,100.0,99.99,100.0,14,7,29,5,3,12,19,10,41,9.7404889240633,9.278593816956048
University of Missouri - Kansas City,11369,6760,Missouri,Large City,public,99.92,96.23,100.0,5,2,11,2,1,5,7,3,16,5.170644606166795,1.9670760912318523
University of Missouri - St Louis,13791,5492,Missouri,Suburb,public,99.98,97.85,100.0,6,3,14,2,1,5,8,4,19,7.286556057835976,1.18813497283681
University of Mobile,1442,1152,Alabama,Rural,NA,95.01,76.96,99.78,2,1,4,1,0,2,3,1,6,1.559656408266896,1.4340587533733429
University of Montevallo,2352,2101,Alabama,Suburb,NA,97.8,83.44,99.96,3,1,6,1,0,2,4,1,8,3.259473143854144,0.5513937340004552
University of Mount Union,2093,2046,Ohio,Town,NA,84.37,64.67,96.85,1,1,2,1,0,1,2,1,3,1.205771143054683,0.6483590960683386
University of Nebraska at Kearney,4846,4063,Nebraska,Town,NA,62.29,43.45,84.96,1,0,1,0,0,1,1,0,2,0.413258227087891,0.5607280638957878
University of Nebraska at Omaha,12620,9820,Nebraska,Large City,NA,83.12,66.48,96.03,1,1,2,1,0,1,2,1,3,1.1065203728261068,0.6722329944646446
University of Nebraska - Lincoln,20955,19534,Nebraska,Large City,public,99.89,97.6,100.0,5,3,9,2,1,4,7,4,13,1.621795531515279,5.195881500763894
University of Nevada - Las Vegas,25281,18958,Nevada,Midsize City,NA,100.0,100.0,100.0,99,36,265,43,14,123,142,50,388,135.83583112026108,6.539015924556055
University of Nevada - Reno,18354,15572,Nevada,Midsize City,NA,100.0,100.0,100.0,70,27,182,30,11,84,100,38,266,88.46522662770022,11.671299545583226
University of New England,4427,2361,Maine,Suburb,NA,98.1,86.78,99.94,3,1,5,1,1,2,4,2,7,0.5546544067908717,3.402665375960504
University of New Hampshire at Manchester,737,575,New Hampshire,Midsize City,NA,28.7,0.55,52.15,0,0,1,0,0,0,0,0,1,0.3295279434266989,0.008597309230233711
University of New Hampshire - Main Campus,13010,12677,New Hampshire,Suburb,NA,100.0,99.31,100.0,8,4,16,3,1,7,11,5,23,3.242464681690381,8.568925798227351
University of New Haven,5214,4831,Connecticut,Suburb,NA,99.82,97.51,100.0,4,3,8,2,1,3,6,4,11,0.618428516078689,5.697190222446613
University of New Mexico - Main Campus,20359,15093,New Mexico,Large City,public,100.0,100.0,100.0,28,11,70,11,4,29,39,15,99,31.05730827221245,7.734326479361466
University of New Orleans,6468,4737,LouisiaNA,Large City,NA,100.0,99.9,100.0,11,5,23,4,2,9,15,7,32,13.963440010376528,0.6858121177425004
University of North Alabama,6061,5141,Alabama,Small City,public,99.99,98.77,100.0,7,3,14,3,1,5,10,4,19,8.041326013177219,1.3951350946846897
University of North CaroliNA at Asheville,3820,3285,North CaroliNA,Small City,NA,93.54,74.78,99.63,2,1,4,1,0,2,3,1,6,1.6501529563551862,1.0875593802225574
University of North CaroliNA at Chapel Hill,18863,18303,North CaroliNA,Small City,public,100.0,99.97,100.0,11,6,23,4,2,9,15,8,32,7.98760045674752,7.658107004772755
University of North CaroliNA at Charlotte,23915,20597,North CaroliNA,Large City,public,100.0,99.94,100.0,11,5,22,4,2,9,15,7,31,11.093861079213209,3.712626257412387
University of North CaroliNA at Greensboro,16441,14136,North CaroliNA,Large City,NA,100.0,99.4,100.0,7,4,15,3,1,6,10,5,21,7.767443531140096,2.4834380610453706
University of North CaroliNA at Pembroke,5478,4483,North CaroliNA,Town,NA,95.79,79.17,99.86,2,1,5,1,0,2,3,1,7,2.6854024995603325,0.47990674427872027
