school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Georgia Southern University,17763,15755,Georgia,Town,NA,100.0,100.0,100.0,39,12,114,18,5,57,57,17,171,51.121157816926065,5.477848210377456
Georgia Southwestern State University,2604,1779,Georgia,Town,public,99.96,89.46,100.0,5,2,16,2,1,8,7,3,24,7.65231240708816,0.288604731585545
Georgia State University,25771,19882,Georgia,Large City,NA,100.0,100.0,100.0,55,16,162,25,7,81,80,23,243,74.35940804807177,5.013816891391667
Georgian Court University,1612,1343,New Jersey,Small City,private,100.0,99.64,100.0,7,4,14,3,2,7,10,6,21,9.875158997771328,0.4607869364973383
Gettysburg College,2411,2404,Pennsylvania,Small City,NA,99.96,98.56,100.0,5,3,10,2,1,5,7,4,15,1.3723415130343288,6.403939192744018
Glenville State College,1655,1037,West Virginia,Town,NA,66.36,39.6,87.09,1,0,1,0,0,1,1,0,2,0.33157924057369326,0.7557776299298019
Goddard College,189,173,Vermont,Rural,NA,48.74,28.88,72.47,0,0,1,0,0,0,0,0,1,0.0,0.6665790906945099
Gonzaga University,5194,5106,Washington,Midsize City,private,100.0,100.0,100.0,14,8,32,7,4,19,21,12,51,8.977267553652515,12.842047090478724
Gordon College,1593,1528,Massachusetts,Suburb,NA,99.55,94.06,100.0,4,2,7,2,1,3,6,3,10,2.183934364784081,3.1966385072251104
Goshen College,888,816,IndiaNA,Small City,private,93.07,76.12,99.47,2,1,3,1,0,2,3,1,5,1.497228056379045,1.1662941309365522
Goucher College,1534,1447,Maryland,Small City,NA,99.77,95.69,100.0,4,2,8,2,1,4,6,3,12,0.7853400779592743,5.263522211882042
Grace Bible College,873,822,Michigan,Small City,NA,95.52,77.02,99.9,2,1,5,1,0,2,3,1,7,2.3041749762341723,0.7925331693502873
Grace College and Theological SemiNAry,1761,1439,IndiaNA,Town,private,99.43,93.95,100.0,4,2,7,2,1,3,6,3,10,2.6858671240387446,2.46780461198539
Graceland University - Lamoni,1405,1061,Iowa,Rural,private,100.0,99.52,100.0,8,4,16,4,2,8,12,6,24,1.0749847322917212,10.32237969596846
