school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Palm Beach Atlantic University,3005,2350,Florida,Midsize City,NA,100.0,100.0,100.0,19,10,39,9,5,19,28,15,58,24.13213738185566,4.434729460318299
Park University,9864,4134,Missouri,Suburb,NA,100.0,99.95,100.0,13,5,31,6,2,15,19,7,46,14.077007465523405,4.547300231951979
Paul Quinn College,518,492,Texas,Large City,private,99.94,95.69,100.0,5,2,12,2,1,5,7,3,17,6.657123089608302,0.6875834561204515
Paul Smiths College of Arts and Science,768,760,New York,Rural,private,87.08,69.21,97.46,1,1,2,1,0,1,2,1,3,1.3916855804656227,0.650825126754847
William Peace University,932,814,North CaroliNA,Large City,NA,78.45,51.52,96.49,1,1,2,0,0,1,1,1,3,1.157595352022034,0.3747363512037577
Peirce College,1388,307,Pennsylvania,Large City,NA,95.69,82.14,99.8,2,1,4,1,1,2,3,2,6,2.648928216191935,0.49109146097303324
Pennsylvania State University - Brandywine,1439,1245,Pennsylvania,Suburb,NA,96.06,83.36,99.82,2,1,4,1,1,2,3,2,6,2.781374627001532,0.44735666297778004
Pennsylvania State University - University Park,40833,39785,Pennsylvania,Small City,NA,100.0,100.0,100.0,86,47,167,39,21,80,125,68,247,54.38787691385957,70.82176760501895
Pennsylvania State University - Abington,3891,3312,Pennsylvania,Suburb,NA,99.99,99.37,100.0,6,3,12,3,2,6,9,5,18,7.404582154324019,1.7564585546827056
Pennsylvania State University - AltooNA,3478,3374,Pennsylvania,Small City,NA,99.99,99.4,100.0,6,4,12,3,2,6,9,6,18,5.854545252817957,3.3981391277974478
Pennsylvania State University - Beaver,652,563,Pennsylvania,Suburb,NA,79.23,57.71,95.44,1,1,2,0,0,1,1,1,3,1.183739796610771,0.38508991019205296
Pennsylvania State University - Berks,2718,2411,Pennsylvania,Suburb,public,99.84,97.24,100.0,4,2,9,2,1,4,6,3,13,5.070214163804876,1.385954643981803
Pennsylvania State University - Erie - Behrend College,4341,4138,Pennsylvania,Suburb,NA,100.0,99.63,100.0,7,4,13,3,2,6,10,6,19,7.942645698238006,2.2240466494047
Pennsylvania State University - Greater Allegheny,497,453,Pennsylvania,Suburb,public,69.41,47.66,90.2,1,0,2,0,0,1,1,0,3,0.9209164501604775,0.2615589903713982
Pennsylvania State University - Harrisburg,4288,3960,Pennsylvania,Suburb,public,100.0,99.86,100.0,8,5,16,4,2,8,12,7,24,6.351219293353945,5.719512988275297
