school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Occidental College,1976,1952,California,Large City,private,99.98,98.1,100.0,6,3,14,3,1,7,9,4,21,5.640199649298629,3.100093473183374
Oglethorpe University,1253,1166,Georgia,Suburb,NA,98.89,70.68,100.0,3,1,10,2,0,6,5,1,16,2.2020439592353633,2.2841785719525145
Ohio Christian University,3988,2429,Ohio,Town,NA,100.0,98.34,100.0,7,3,16,4,1,9,11,4,25,6.023373859880831,4.3384612019362105
Ohio Dominican University,1176,957,Ohio,Large City,NA,93.1,65.39,99.83,2,1,4,1,0,2,3,1,6,2.078034713564329,0.5909522826745709
Ohio Northern University,2315,2092,Ohio,Town,private,99.51,88.09,100.0,4,1,8,2,1,4,6,2,12,3.59021959902194,1.7201074680499986
Ohio State University - Lima Campus,1007,844,Ohio,Rural,public,86.05,53.77,99.05,1,1,3,1,0,2,2,1,5,1.9570599227277206,0.010773716374618776
Ohio State University - Main Campus,45943,42003,Ohio,Large City,NA,100.0,100.0,100.0,68,27,159,35,13,85,103,40,244,75.60143944766526,26.98576659686105
Ohio State University - Newark Campus,2605,2218,Ohio,Suburb,NA,99.39,86.38,100.0,3,1,8,2,1,4,5,2,12,5.045819501668879,0.04146062891696095
Ohio University - Main Campus,23167,17695,Ohio,Town,public,100.0,100.0,100.0,31,13,73,16,6,39,47,19,112,40.95191790449591,6.318672365321138
Ohio Valley University,528,435,West Virginia,Small City,NA,67.97,36.84,93.28,1,0,2,0,0,1,1,0,3,0.03628526915727455,1.097642788339783
Ohio Wesleyan University,1557,1545,Ohio,Suburb,private,98.48,81.24,100.0,3,1,7,1,1,4,4,2,11,1.4926728224194479,2.685620738129985
Oklahoma Baptist University,1962,1835,Oklahoma,Town,NA,99.92,89.97,100.0,5,2,13,2,1,7,7,3,20,4.2469134920491145,2.8798009312319968
Oklahoma Christian University,1976,1846,Oklahoma,Large City,NA,99.94,92.16,100.0,5,2,14,2,1,7,7,3,21,2.712256797670817,4.749928807211648
Oklahoma City University,1715,1579,Oklahoma,Large City,NA,99.85,88.88,100.0,4,1,12,2,1,6,6,2,18,2.9113845119301933,3.569409290533617
Oklahoma Panhandle State University,1136,852,Oklahoma,Rural,public,98.83,78.78,100.0,3,1,8,1,1,4,4,2,12,1.78871619188164,2.6432124922637583
Oklahoma State University - Main Campus,20992,18221,Oklahoma,Town,NA,100.0,100.0,100.0,53,17,146,27,8,78,80,25,224,50.47887556475193,29.180526876599878
Oklahoma Wesleyan University,1005,609,Oklahoma,Town,NA,97.31,71.67,99.99,2,1,6,1,0,3,3,1,9,1.8127488470508752,1.7951011814417759
Old Dominion University,19543,15036,Virginia,Midsize City,public,100.0,100.0,100.0,99,29,213,57,16,128,156,45,341,151.76203858000113,4.2500545381495884
Olivet College,1178,1032,Michigan,Rural,private,98.29,74.65,100.0,3,1,7,1,0,4,4,1,11,3.960547209933275,0.09941582604158981
Olivet Nazarene University,3377,3113,Illinois,Suburb,NA,99.85,94.19,100.0,4,2,11,2,1,6,6,3,17,2.3118398426904636,4.1641113802480785
