school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of Phoenix - Hawaii,661,661,Hawaii,Large City,NA,6.8,3.05,15.45,0,0,0,0,0,0,0,0,0,5.6402131882093475e-05,0.07030237889399758
University of Phoenix - New Jersey,111,111,New Jersey,Large City,NA,41.03,21.1,72.12,0,0,1,0,0,0,0,0,1,0.4576371447353369,0.06906796890544017
University of Phoenix - Kentucky,18,18,Kentucky,Suburb,NA,4.35,1.64,11.55,0,0,0,0,0,0,0,0,0,0.03616772075387477,0.008223043722486976
University of Phoenix - Utah,122,122,Utah,Suburb,NA,58.14,15.07,96.27,1,0,2,0,0,1,1,0,3,0.8676847704045716,0.0
University of Pittsburgh - Bradford,1337,1229,Pennsylvania,Town,NA,94.89,76.74,99.85,2,1,4,1,0,2,3,1,6,1.8839098980778453,1.0834426649627396
University of Pittsburgh - Greensburg,1524,1436,Pennsylvania,Suburb,NA,94.02,76.62,99.76,2,1,4,1,0,2,3,1,6,2.6848428010034553,0.12901891905586
University of Pittsburgh - Johnstown,2785,2713,Pennsylvania,Suburb,NA,99.46,93.27,100.0,3,2,7,2,1,4,5,3,11,4.937579588916119,0.26974852957787443
University of Pittsburgh - Pittsburgh Campus,19329,18390,Pennsylvania,Large City,public,100.0,100.0,100.0,32,15,74,17,8,40,49,23,114,24.105730010625635,25.247840442173942
University of Portland,3888,3792,Oregon,Large City,private,100.0,99.94,100.0,11,5,33,6,3,18,17,8,51,2.180148867187983,14.970995496762487
University of Puget Sound,2415,2390,Washington,Midsize City,NA,100.0,98.97,100.0,7,3,23,4,2,12,11,5,35,2.541453131897237,8.77129049797272
University of Redlands,3133,2518,California,Small City,private,100.0,99.95,100.0,12,5,29,6,3,15,18,8,44,12.818782996515187,4.956810751626549
University of Rhode Island,15100,12629,Rhode Island,Suburb,NA,100.0,100.0,100.0,17,8,36,9,4,19,26,12,55,4.137245439782999,21.081042541330863
University of Richmond,3265,3035,Virginia,Midsize City,NA,100.0,99.67,100.0,10,4,23,5,2,13,15,6,36,5.313914088971289,10.114735436117288
University of Rio Grande,1755,1269,Ohio,Rural,NA,96.7,73.63,99.97,2,1,5,1,0,3,3,1,8,3.282243411312375,0.12574569867921753
University of Rochester,6542,6250,New York,Midsize City,private,100.0,99.99,100.0,15,6,36,8,3,19,23,9,55,7.274337153647967,15.406106389578389
University of Saint Francis - Fort Wayne,1906,1523,IndiaNA,Large City,NA,99.36,91.72,100.0,3,2,7,2,1,4,5,3,11,4.481558828755402,0.5624015716845954
University of Saint Mary,750,641,Kansas,Town,NA,97.83,68.49,100.0,2,1,8,1,0,4,3,1,12,0.20380393895208104,3.584498758568698
University of San Diego,5776,5605,California,Large City,NA,100.0,100.0,100.0,23,9,60,12,5,32,35,14,92,19.966583653558217,15.550334564835305
University of San Francisco,6847,6586,California,Large City,NA,100.0,100.0,100.0,26,11,64,13,6,34,39,17,98,30.079835492283564,9.030267335972708
