 ,0,0,na,na,na
Catawba College,1322,1268,North Carolina,Suburb,na
Catholic University of America,3308,3194,District of Columbia,Large City,na
Cazenovia College,897,713,New York,Town,na
Cedar Crest College,1432,931,Pennsylvania,Midsize City,na
Cedarville University,3536,3109,Ohio,Town,private
Centenary University,1366,1125,New Jersey,Suburb,private
Centenary College of Louisiana,536,524,Louisiana,Midsize City,na
Central Baptist College,745,599,Arkansas,Small City,private
Central Christian College of Kansas,869,730,Kansas,Town,na
Central College,1232,1198,Iowa,Town,na
Central Connecticut State University,9550,7605,Connecticut,Suburb,na
Central Methodist University - College of Liberal Arts & Sciences,1058,1034,Missouri,Town,na
Central Michigan University,17801,15585,Michigan,Town,na
Central Penn College,1197,316,Pennsylvania,Suburb,na
Central State University,1788,1710,Ohio,Rural,public
Central Washington University,12080,10446,Washington,Town,na
Centre College,1447,1449,Kentucky,Town,na
Chadron State College,2151,1616,Nebraska,Town,na
Chaminade University of Honolulu,1813,1524,Hawaii,Large City,na
Champlain College,3933,2603,Vermont,Small City,na
Chapman University,7023,6515,California,Midsize City,na
Charleston Southern University,3062,2804,South Carolina,Midsize City,private
Chatham University,1207,951,Pennsylvania,Large City,na
Chestnut Hill College,1363,1118,Pennsylvania,Large City,na
Cheyney University of Pennsylvania,718,671,Pennsylvania,Suburb,public
Chicago State University,2032,1297,Illinois,Large City,na
Chowan University,1500,1440,North Carolina,Town,private
Christian Brothers University,1789,1426,Tennessee,Large City,na
Christopher Newport University,4951,4867,Virginia,Midsize City,na
Citadel Military College of South Carolina,2837,2559,South Carolina,Midsize City,na
City University of Seattle,929,235,Washington,Large City,na
Claflin University,2040,1955,South Carolina,Town,private
Claremont McKenna College,1341,1337,California,Suburb,na
Clarion University of Pennsylvania,4319,3483,Pennsylvania,Town,public
Clark Atlanta University,3305,3187,Georgia,Large City,na
Clark University,2240,2199,Massachusetts,Midsize City,private
Clarke University,765,708,Iowa,Small City,na
Clarkson University,3086,3021,New York,Town,private
Clayton State University,6553,3743,Georgia,Suburb,na
Clemson University,19409,18642,South Carolina,Suburb,public
Cleveland State University,12077,9268,Ohio,Large City,na
Coastal Carolina University,9899,9021,South Carolina,Small City,na
Coe College,1393,1369,Iowa,Midsize City,private
Cogswell College,606,436,California,Large City,na
Coker College,1025,909,South Carolina,Town,private
Colby College,1923,1917,Maine,Town,na
Colby - Sawyer College,983,920,New Hampshire,Rural,na
Colgate University,2882,2854,New York,Town,private
College of Charleston,9901,9083,South Carolina,Midsize City,public
College of Mount Saint Vincent,1693,1613,New York,Large City,na
Mount St. Joseph University,1315,1000,Ohio,Suburb,na
Notre Dame of Maryland University,817,528,Maryland,Large City,na
College of Our Lady of the Elms,1174,973,Massachusetts,Suburb,private
College of Saint Benedict,1940,1916,Minnesota,Suburb,na
College of Saint Elizabeth,757,587,New Jersey,Suburb,na
College of Saint Mary,833,761,Nebraska,Large City,na
Northeast Catholic College,69,70,New Hampshire,Rural,na
College of the Atlantic,352,330,Maine,Town,private
College of the Holy Cross,2852,2827,Massachusetts,Midsize City,private
College of the Ozarks,1510,1477,Missouri,Town,private
College of William and Mary,6287,6199,Virginia,Suburb,na
Colorado Christian University,6541,1840,Colorado,Midsize City,na
Colorado College,2106,2091,Colorado,Large City,private
Colorado School of Mines,4790,4584,Colorado,Suburb,public
Colorado State University - Fort Collins,25523,22154,Colorado,Midsize City,public
Colorado State University - Pueblo,4627,3292,Colorado,Midsize City,na
Colorado Technical University - Colorado Springs,22305,14445,Colorado,Large City,na
Columbia College Chicago,7029,6436,Illinois,Large City,na
Columbia College Missouri,12747,5163,Missouri,Midsize City,private
Columbia College South Carolina,1383,804,South Carolina,Midsize City,na
Columbia International University,497,454,South Carolina,Midsize City,na
Columbia Southern University,15049,8567,Alabama,Town,private
Columbia University in the City of New York,8157,7592,New York,Large City,na
Columbus State University,6798,4693,Georgia,Midsize City,na
Concord University,1853,1696,West Virginia,Town,public
Concordia College at Moorhead,2032,1997,Minnesota,Suburb,na
Concordia College - New York,1131,1024,New York,Suburb,na
Concordia University - Ann Arbor,906,780,Michigan,Midsize City,na
Concordia University - Chicago,1458,1299,Illinois,Suburb,private
Concordia University - Irvine,1851,1645,California,Large City,private
Concordia University - Portland,1378,1124,Oregon,Large City,na
Concordia University - Saint Paul,2867,1417,Minnesota,Large City,na
Concordia University - Nebraska,1682,1231,Nebraska,Town,na
Concordia University - Texas,1725,1347,Texas,Large City,na
Concordia University - Wisconsin,3713,2616,Wisconsin,Suburb,na
Connecticut College,1815,1766,Connecticut,Small City,private
Converse College,920,860,South Carolina,Small City,na
Cooper Union for the Advancement of Science and Art,864,859,New York,Large City,na
Coppin State University,2509,1854,Maryland,Large City,na
Corban University,1021,936,Oregon,Midsize City,private
Cornell College,1006,1002,Iowa,Town,private
